video_id	video_title
sZU8xWDH68w	Best VGM 154 - The World Ends With You - O-Parts
kNPz77g5Xyk	Best VGM 155 - Super Castlevania IV - Cave
w4J4ZQP7Nq0	Best VGM 156 - Legend of Mana - Earth Painting
RO_FVqiEtDY	Best VGM 157 - Super Paper Mario - Sammer's Kingdom
3iygPesmC-U	Best VGM 158 - Shadow Hearts - Callback From Jesus
TS8q1pjWviA	Best VGM 160 - Star Fox - Corneria
1xzf_Ey5th8	Best VGM 161 - Breath of Fire V - Electric Power Building
dEVI5_OxUyY	Best VGM 163 - Goldeneye - Byelomorye Dam
rVmt7axswLo	Best VGM 164 - Castlevania Curse of Darkness - The Forest of Jigramunt
KiGfjOLF_j0	Best VGM 165 - Earthbound - Winters
W6GNcYfHe1E	Best VGM 166 - Illusion of Gaia - China's Great Wall
CRmOTY1lhYs	Best VGM 167 - Mass Effect - Credits (M4 Part II)
2r1iesThvYg	Best VGM 168 - Chrono Trigger - Secret of the Forest
F8U5nxhxYf0	Best VGM 169 - Breath of Fire III - Cedar Forest (Falling Green)
JHrGsxoZumY	Best VGM 170 - Soukaigi - Fire Wire
LDvKwSVuUGA	Best VGM 172 - Donkey Kong Country - Aquatic Ambiance
tbVLmRfeIQg	Best VGM 173 - Alundra - The Wind that Shook the Earth
u4cv8dOFQsc	Best VGM 174 - Silent Hill 3 - A Stray Child
w2HT5XkGaws	Best VGM 175 - Gremlins 2 : The New Batch - Stage 1
C-QGg9FGzj4	Best VGM 177 - Grandia II - Fight!! Ver.3 ~ Boss Battle
6l3nVyGhbpE	Best VGM 178 - Extreme-G - Track 2
tkj57nM0OqQ	Best VGM 180 - Sonic the Hedgehog 2 - Chemical Plant Zone
5OZIrAW7aSY	Best VGM 181 - Way of the Samurai - Righteous Soul (Credits)
0Y1Y3buSm2I	Best VGM 182 - Mario Kart Wii - Moo Moo Meadows
f1EFHMwKdkY	Best VGM 183 - Shadow Hearts III - Dead Fingers Talk (Battle Theme)
TdiRoUoSM-E	Best VGM 184 - Soma Bringer - Adel Desert
m6HgGxxjyrU	Best VGM 185 - Tales of Symphonia - A Snow Light (Flanoir)
EmD9WnLYR5I	Best VGM 186 - Super Mario Land 2 - Star Maze
QGgK5kQkLUE	Best VGM 187 - Kingdom Hearts - Traverse Town
YFDcu-hy4ak	Best VGM 188 - Donkey Kong Country 3 GBA - Water World
kzUYJAaiEvA	Best VGM 189 - ICO - You Were There (Ending Sequence)
L9e6Pye7p5A	Best VGM 190 - Mystical Ninja Starring Goemon - Kai Highway
HCHsMo4BOJ0	Best VGM 191 - Wild Arms 4 - The Desire to Fly Exceeds Words
9VyMkkI39xc	Best VGM 193 - Okami - Shachimaru's Theme (Orca)
B-L4jj9lRmE	Best VGM 194 - Suikoden III - Exceeding Love (Opening)
CHlEPgi4Fro	Best VGM 195 - Ace Combat Zero: The Belkan War - MERLON
O8jJJXgNLo4	Best VGM 197 - Diablo I & II - Tristram
6GX_qN7hEEM	Best VGM 198 - Faxanadu - Land of Dwarf
SKtO8AZLp2I	Best VGM 199 - Wild Arms 5 - The Road to Tomorrow Follows Behind You
nH7ma8TPnE8	Best VGM 200 - The Legend of Zelda - Labyrinth
Rs2y4Nqku2o	Best VGM 201 - Chrono Cross - The Scars of Time (Opening)
GLPT6H4On4o	Best VGM 202 - Metroid Fusion - Sector 1
TM3BIOvEJSw	Best VGM 203 - Eternal Sonata - Leap the Precipice (Battle Theme)
ztiSivmoE0c	Best VGM 204 - Breath of Fire - Sara (Goodbye)
bckgyhCo7Lw	Best VGM 205 - Tales of Legendia - The Birds Chirp, I Sing
